wave,40_30_30
1.741,0.069155407
1.742,0.06916343
1.743,0.069171448
1.744,0.069179482
1.745,0.069187514
1.746,0.069195542
1.747,0.069203566
1.748,0.069211586
1.749,0.069219602
1.75,0.069227614
1.751,0.069235622
1.752,0.069243626
1.753,0.069251626
1.754,0.069259621
1.755,0.069267613
1.756,0.069275601
1.757,0.069283584
1.758,0.069291564
1.759,0.06929954
1.76,0.069307512
1.761,0.069313133
1.762,0.069318751
1.763,0.069324367
1.764,0.069329981
1.765,0.069335593
1.766,0.069341202
1.767,0.069346809
1.768,0.069352414
1.769,0.069358016
1.77,0.069363616
1.771,0.069369214
1.772,0.06937481
1.773,0.069380404
1.774,0.069385995
1.775,0.069391584
1.776,0.06939717
1.777,0.069402755
1.778,0.069408337
1.779,0.069413917
1.78,0.069419495
1.781,0.069425071
1.782,0.069430644
1.783,0.069436215
1.784,0.069441784
1.785,0.069447351
1.786,0.069452916
1.787,0.069458478
1.788,0.069464038
1.789,0.069469596
1.79,0.069475152
1.791,0.069480706
1.792,0.069486258
